sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,position,label,cluster_description
158023.0,https://sofifa.com/player/158023/lionel-messi/200002,L. Messi,Lionel Andrés Messi Cuccittini,32.0,1987-06-24,170.0,72.0,Argentina,FC Barcelona,Spain Primera Division,1.0,94.0,94.0,95500000.0,575000.0,"RW, CF, ST",Left,5.0,4.0,4.0,Medium/Low,Messi,Yes,195800000.0,"#Dribbler, #Distance Shooter, #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",RW,10.0,,2004-07-01,2021.0,,,87.0,92.0,92.0,96.0,39.0,66.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Team Player, Chip Shot (AI)",88.0,95.0,70.0,92.0,88.0,97.0,93.0,94.0,92.0,96.0,91.0,84.0,93.0,95.0,95.0,86.0,68.0,75.0,68.0,94.0,48.0,40.0,94.0,94.0,75.0,96.0,,37.0,26.0,6.0,11.0,15.0,14.0,8.0,89+5,89+5,89+5,93+1,93+1,93+1,93+1,93+1,94+0,94+0,94+0,92+2,87+6,87+6,87+6,92+2,68+6,66+6,66+6,66+6,68+6,63+6,53+6,53+6,53+6,63+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
20801.0,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/200002,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34.0,1985-02-05,187.0,83.0,Portugal,Juventus,Italian Serie A,1.0,93.0,93.0,58500000.0,400000.0,"ST, LW",Right,5.0,4.0,5.0,High/Low,C. Ronaldo,Yes,96500000.0,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,7.0,,2018-07-10,2022.0,LS,7.0,90.0,93.0,82.0,89.0,35.0,78.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",84.0,94.0,89.0,83.0,87.0,89.0,81.0,76.0,77.0,92.0,89.0,91.0,87.0,96.0,71.0,95.0,95.0,85.0,78.0,93.0,63.0,29.0,95.0,82.0,85.0,95.0,,32.0,24.0,7.0,11.0,15.0,14.0,11.0,91+2,91+2,91+2,90+0,91+0,91+0,91+0,90+0,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,62+3,62+3,62+3,65+3,61+3,54+3,54+3,54+3,61+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
183277.0,https://sofifa.com/player/183277/eden-hazard/200002,E. Hazard,Eden Hazard,28.0,1991-01-07,175.0,74.0,Belgium,Real Madrid,Spain Primera Division,1.0,91.0,91.0,90000000.0,475000.0,"LW, CF",Right,4.0,4.0,4.0,High/Medium,Normal,Yes,184500000.0,"#Speedster, #Dribbler, #Acrobat",LW,7.0,,2019-07-01,2024.0,LF,10.0,91.0,83.0,86.0,94.0,35.0,66.0,,,,,,,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81.0,84.0,61.0,89.0,83.0,95.0,83.0,79.0,83.0,94.0,94.0,88.0,95.0,90.0,94.0,82.0,56.0,84.0,63.0,80.0,54.0,41.0,87.0,89.0,88.0,91.0,,27.0,22.0,11.0,12.0,6.0,8.0,8.0,84+6,84+6,84+6,89+2,89+2,89+2,89+2,89+2,90+1,90+1,90+1,89+2,83+6,83+6,83+6,89+2,66+6,63+6,63+6,63+6,66+6,61+6,49+6,49+6,49+6,61+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
209331.0,https://sofifa.com/player/209331/mohamed-salah/200002,M. Salah,Mohamed Salah Ghaly,27.0,1992-06-15,175.0,71.0,Egypt,Liverpool,English Premier League,1.0,90.0,90.0,80500000.0,225000.0,"RW, ST",Left,3.0,3.0,4.0,High/Medium,Mohamed Salah,Yes,148900000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",RW,11.0,,2017-07-01,2023.0,RW,10.0,93.0,86.0,81.0,89.0,45.0,74.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",79.0,90.0,59.0,84.0,79.0,89.0,83.0,69.0,75.0,89.0,94.0,92.0,91.0,92.0,88.0,80.0,69.0,85.0,73.0,84.0,63.0,55.0,92.0,84.0,77.0,91.0,,43.0,41.0,14.0,14.0,9.0,11.0,14.0,85+5,85+5,85+5,88+2,88+2,88+2,88+2,88+2,88+2,88+2,88+2,87+3,82+6,82+6,82+6,87+3,71+6,67+6,67+6,67+6,71+6,67+6,58+6,58+6,58+6,67+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
231747.0,https://sofifa.com/player/231747/kylian-mbappe/200002,K. Mbappé,Kylian Mbappé Lottin,20.0,1998-12-20,178.0,73.0,France,Paris Saint-Germain,French Ligue 1,1.0,89.0,95.0,93500000.0,150000.0,"ST, RW",Right,3.0,4.0,5.0,High/Low,Normal,Yes,191700000.0,"#Speedster, #Dribbler, #Acrobat",RW,7.0,,2018-07-01,2022.0,RM,10.0,96.0,84.0,78.0,90.0,39.0,75.0,,,,,,,"Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78.0,89.0,77.0,82.0,79.0,91.0,79.0,63.0,70.0,90.0,96.0,96.0,92.0,89.0,83.0,83.0,76.0,84.0,76.0,79.0,62.0,38.0,89.0,80.0,70.0,84.0,,34.0,32.0,13.0,5.0,7.0,11.0,6.0,87+3,87+3,87+3,88+0,88+0,88+0,88+0,88+0,86+3,86+3,86+3,87+3,78+3,78+3,78+3,87+3,67+3,62+3,62+3,62+3,67+3,63+3,55+3,55+3,55+3,63+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
202126.0,https://sofifa.com/player/202126/harry-kane/200002,H. Kane,Harry Kane,25.0,1993-07-28,188.0,89.0,England,Tottenham Hotspur,English Premier League,1.0,89.0,91.0,83000000.0,225000.0,ST,Right,3.0,4.0,3.0,High/High,Normal,Yes,159800000.0,"#Engine, #Distance Shooter, #Clinical Finisher",ST,10.0,,2010-07-01,2024.0,ST,9.0,70.0,91.0,79.0,81.0,47.0,83.0,,,,,,,"Leadership, Long Shot Taker (AI), Team Player",75.0,94.0,86.0,81.0,85.0,80.0,78.0,68.0,83.0,84.0,68.0,72.0,71.0,91.0,73.0,90.0,79.0,87.0,84.0,86.0,78.0,35.0,93.0,81.0,90.0,91.0,,36.0,38.0,8.0,10.0,11.0,14.0,11.0,87+3,87+3,87+3,82+0,85+0,85+0,85+0,82+0,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,65+3,66+3,66+3,66+3,65+3,62+3,61+3,61+3,61+3,62+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
153079.0,https://sofifa.com/player/153079/sergio-aguero/200002,S. Agüero,Sergio Leonel Agüero del Castillo,31.0,1988-06-02,173.0,70.0,Argentina,Manchester City,English Premier League,1.0,89.0,89.0,60000000.0,300000.0,ST,Right,4.0,4.0,4.0,High/Medium,Stocky,Yes,111000000.0,"#Dribbler, #Clinical Finisher, #Complete Forward",ST,10.0,,2011-07-28,2021.0,ST,9.0,80.0,90.0,77.0,88.0,33.0,74.0,,,,,,,"Leadership, Chip Shot (AI)",70.0,93.0,78.0,83.0,85.0,88.0,83.0,73.0,64.0,89.0,82.0,78.0,84.0,92.0,91.0,89.0,81.0,79.0,74.0,84.0,65.0,24.0,93.0,83.0,83.0,90.0,,29.0,24.0,13.0,15.0,6.0,11.0,14.0,87+2,87+2,87+2,86+0,88+0,88+0,88+0,86+0,86+3,86+3,86+3,84+3,77+3,77+3,77+3,84+3,61+3,58+3,58+3,58+3,61+3,57+3,51+3,51+3,51+3,57+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
176580.0,https://sofifa.com/player/176580/luis-suarez/200002,L. Suárez,Luis Alberto Suárez Díaz,32.0,1987-01-24,182.0,86.0,Uruguay,FC Barcelona,Spain Primera Division,1.0,89.0,89.0,53000000.0,350000.0,ST,Right,5.0,4.0,3.0,High/Medium,Normal,Yes,108700000.0,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,9.0,,2014-07-11,2021.0,,,73.0,89.0,80.0,84.0,51.0,84.0,,,,,,,"Solid Player, Outside Foot Shot",78.0,91.0,83.0,82.0,90.0,85.0,86.0,82.0,72.0,84.0,76.0,70.0,79.0,92.0,79.0,88.0,69.0,82.0,86.0,86.0,87.0,41.0,92.0,82.0,83.0,85.0,,45.0,38.0,27.0,25.0,31.0,33.0,37.0,86+3,86+3,86+3,84+0,85+0,85+0,85+0,84+0,84+3,84+3,84+3,83+3,79+3,79+3,79+3,83+3,67+3,68+3,68+3,68+3,67+3,64+3,63+3,63+3,63+3,64+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
188545.0,https://sofifa.com/player/188545/robert-lewandowski/200002,R. Lewandowski,Robert Lewandowski,30.0,1988-08-21,184.0,80.0,Poland,FC Bayern München,German 1. Bundesliga,1.0,89.0,89.0,64500000.0,225000.0,ST,Right,4.0,4.0,4.0,High/Medium,Normal,Yes,106400000.0,#Clinical Finisher,ST,9.0,,2014-07-01,2021.0,LS,9.0,77.0,87.0,74.0,85.0,41.0,82.0,,,,,,,"Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",62.0,88.0,85.0,82.0,88.0,85.0,77.0,85.0,65.0,88.0,77.0,77.0,78.0,90.0,82.0,87.0,84.0,78.0,84.0,84.0,81.0,39.0,91.0,77.0,86.0,86.0,,42.0,19.0,15.0,6.0,12.0,8.0,10.0,86+3,86+3,86+3,83+0,85+0,85+0,85+0,83+0,83+3,83+3,83+3,81+3,77+3,77+3,77+3,81+3,61+3,63+3,63+3,63+3,61+3,58+3,58+3,58+3,58+3,58+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
194765.0,https://sofifa.com/player/194765/antoine-griezmann/200002,A. Griezmann,Antoine Griezmann,28.0,1991-03-21,176.0,73.0,France,FC Barcelona,Spain Primera Division,1.0,89.0,89.0,69000000.0,375000.0,"CF, ST, LW",Left,4.0,3.0,4.0,High/High,Normal,Yes,141500000.0,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward",LW,17.0,,2019-07-12,2024.0,CAM,7.0,81.0,86.0,84.0,89.0,57.0,72.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83.0,89.0,84.0,85.0,87.0,88.0,86.0,85.0,82.0,90.0,82.0,81.0,90.0,92.0,83.0,82.0,89.0,87.0,63.0,83.0,73.0,49.0,90.0,86.0,86.0,89.0,,54.0,49.0,14.0,8.0,14.0,13.0,14.0,86+3,86+3,86+3,87+2,87+2,87+2,87+2,87+2,87+2,87+2,87+2,87+2,83+6,83+6,83+6,87+2,73+6,71+6,71+6,71+6,73+6,71+6,65+6,65+6,65+6,71+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
211110.0,https://sofifa.com/player/211110/paulo-dybala/200002,P. Dybala,Paulo Bruno Exequiel Dybala,25.0,1993-11-15,177.0,75.0,Argentina,Juventus,Italian Serie A,1.0,88.0,92.0,76500000.0,225000.0,"CAM, RW",Left,3.0,3.0,4.0,Medium/Medium,Normal,Yes,132000000.0,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",RW,10.0,,2015-07-01,2022.0,CF,21.0,83.0,82.0,84.0,90.0,43.0,64.0,,,,,,,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82.0,80.0,64.0,87.0,88.0,90.0,88.0,88.0,75.0,93.0,86.0,81.0,91.0,84.0,85.0,80.0,75.0,79.0,61.0,86.0,48.0,42.0,80.0,87.0,86.0,84.0,,48.0,40.0,5.0,4.0,4.0,5.0,8.0,81+4,81+4,81+4,86+1,85+1,85+1,85+1,86+1,86+4,86+4,86+4,85+4,81+4,81+4,81+4,85+4,68+4,64+4,64+4,64+4,68+4,64+4,54+4,54+4,54+4,64+4,striker,5.0,High skills / Potential / lack of strengh and physic / low heading and jump
