match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,data_version,shot_fidelity_version,xy_fidelity_version,game
7578,2018-06-15,14:00:00.000,International - FIFA World Cup,2018,Egypt,Uruguay,0,1,available,scheduled,2021-08-05T15:36:06.488,2021-06-13T16:17:31.694,1,Group Stage,Ekaterinburg Arena,Björn Kuipers,1.0.2,,,Egypt vs Uruguay
7553,2018-06-23,17:00:00.000,International - FIFA World Cup,2018,South Korea,Mexico,1,2,available,scheduled,2021-08-05T16:00:04.816,2021-06-13T16:17:31.694,2,Group Stage,Rostov Arena,Milorad Mažić,1.0.2,,,South Korea vs Mexico
7544,2018-06-20,17:00:00.000,International - FIFA World Cup,2018,Uruguay,Saudi Arabia,1,0,available,scheduled,2021-08-05T15:51:40.942,2021-06-13T16:17:31.694,2,Group Stage,Rostov Arena,Clément Turpin,1.0.2,,,Uruguay vs Saudi Arabia
7536,2018-06-18,17:00:00.000,International - FIFA World Cup,2018,Belgium,Panama,3,0,available,scheduled,2021-08-05T15:43:42.552,2021-06-13T16:17:31.694,1,Group Stage,Olimpiyskiy Stadion Fisht,Janny Sikazwe,1.0.2,,,Belgium vs Panama
7555,2018-06-24,20:00:00.000,International - FIFA World Cup,2018,Poland,Colombia,0,3,available,scheduled,2021-08-05T16:04:30.081,2021-06-13T16:17:31.694,2,Group Stage,Kazan' Arena (Kazan'),César Arturo Ramos Palazuelos,1.0.2,,,Poland vs Colombia
7546,2018-06-21,17:00:00.000,International - FIFA World Cup,2018,France,Peru,1,0,available,scheduled,2021-08-05T15:55:55.217,2021-06-13T16:17:31.694,2,Group Stage,Ekaterinburg Arena,Mohamed Abdulla Hassan Mohd,1.0.2,,,France vs Peru
7539,2018-06-19,17:00:00.000,International - FIFA World Cup,2018,Poland,Senegal,1,2,available,scheduled,2021-08-05T15:47:22.199,2021-06-13T16:17:31.694,1,Group Stage,Otkrytiye Arena (Moskva),Nawaf Abdulla Ghayyath Shukralla,1.0.2,,,Poland vs Senegal
7538,2018-06-18,14:00:00.000,International - FIFA World Cup,2018,Sweden,South Korea,1,0,available,scheduled,2021-08-05T15:39:42.324,2021-06-13T16:17:31.694,1,Group Stage,Stadion Nizhny Novgorod,Joel Antonio Aguilar Chicas,1.0.2,,,Sweden vs South Korea
7576,2018-06-15,20:00:00.000,International - FIFA World Cup,2018,Portugal,Spain,3,3,available,scheduled,2021-08-05T15:31:17.839,2021-06-13T16:17:31.694,1,Group Stage,Olimpiyskiy Stadion Fisht,Gianluca Rocchi,1.0.2,,,Portugal vs Spain
7565,2018-06-27,20:00:00.000,International - FIFA World Cup,2018,Serbia,Brazil,0,2,available,scheduled,2021-08-04T18:41:17.619,2021-06-13T16:17:31.694,3,Group Stage,Otkrytiye Arena (Moskva),Alireza Faghani,1.0.2,,,Serbia vs Brazil
7551,2018-06-23,20:00:00.000,International - FIFA World Cup,2018,Germany,Sweden,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Olimpiyskiy Stadion Fisht,Szymon Marciniak,1.0.2,,,Germany vs Sweden
7550,2018-06-22,20:00:00.000,International - FIFA World Cup,2018,Serbia,Switzerland,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Stadion Kaliningrad,Felix Brych,1.0.2,,,Serbia vs Switzerland
7537,2018-06-18,20:00:00.000,International - FIFA World Cup,2018,Tunisia,England,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Group Stage,Volgograd Arena,Wilmar Alexander Roldán Pérez,1.0.2,,,Tunisia vs England
7580,2018-06-30,16:00:00.000,International - FIFA World Cup,2018,France,Argentina,4,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Round of 16,Kazan' Arena (Kazan'),Alireza Faghani,1.0.2,,,France vs Argentina
8650,2018-07-06,20:00:00.000,International - FIFA World Cup,2018,Brazil,Belgium,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,5,Quarter-finals,Kazan' Arena (Kazan'),Milorad Mažić,1.0.2,,,Brazil vs Belgium
7581,2018-07-01,20:00:00.000,International - FIFA World Cup,2018,Croatia,Denmark,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Round of 16,Stadion Nizhny Novgorod,Néstor Fabián Pitana,1.0.2,,,Croatia vs Denmark
7549,2018-06-22,17:00:00.000,International - FIFA World Cup,2018,Nigeria,Iceland,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Volgograd Arena,Matthew Conger,1.0.2,,,Nigeria vs Iceland
7529,2018-06-16,21:00:00.000,International - FIFA World Cup,2018,Croatia,Nigeria,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Group Stage,Stadion Kaliningrad,Sandro Ricci,1.0.2,,,Croatia vs Nigeria
7548,2018-06-22,14:00:00.000,International - FIFA World Cup,2018,Brazil,Costa Rica,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Saint-Petersburg Stadium,Björn Kuipers,1.0.2,,,Brazil vs Costa Rica
7534,2018-06-17,17:00:00.000,International - FIFA World Cup,2018,Germany,Mexico,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Group Stage,Stadion Luzhniki,Alireza Faghani,1.0.2,,,Germany vs Mexico
7562,2018-06-26,16:00:00.000,International - FIFA World Cup,2018,Australia,Peru,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Group Stage,Olimpiyskiy Stadion Fisht,Sergey Karasev,1.0.2,,,Australia vs Peru
7571,2018-06-28,16:00:00.000,International - FIFA World Cup,2018,Senegal,Colombia,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Group Stage,Solidarnost Arena,Milorad Mažić,1.0.2,,,Senegal vs Colombia
7569,2018-06-28,20:00:00.000,International - FIFA World Cup,2018,Panama,Tunisia,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Group Stage,Mordovia Arena,Nawaf Abdulla Ghayyath Shukralla,1.0.2,,,Panama vs Tunisia
7568,2018-06-27,20:00:00.000,International - FIFA World Cup,2018,Switzerland,Costa Rica,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Group Stage,Stadion Nizhny Novgorod,Clément Turpin,1.0.2,,,Switzerland vs Costa Rica
7530,2018-06-16,12:00:00.000,International - FIFA World Cup,2018,France,Australia,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Group Stage,Kazan' Arena (Kazan'),Andrés Cunha,1.0.2,,,France vs Australia
7558,2018-06-25,16:00:00.000,International - FIFA World Cup,2018,Uruguay,Russia,3,0,available,scheduled,2020-10-25T14:03:50.263266,2021-06-13T16:17:31.694,3,Group Stage,Solidarnost Arena,Malang Diedhiou,1.0.2,,,Uruguay vs Russia
7583,2018-07-02,16:00:00.000,International - FIFA World Cup,2018,Brazil,Mexico,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Round of 16,Solidarnost Arena,Gianluca Rocchi,1.0.2,,,Brazil vs Mexico
7547,2018-06-21,14:00:00.000,International - FIFA World Cup,2018,Denmark,Australia,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Solidarnost Arena,Antonio Miguel Mateu Lahoz,1.0.2,,,Denmark vs Australia
7535,2018-06-17,14:00:00.000,International - FIFA World Cup,2018,Costa Rica,Serbia,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Group Stage,Solidarnost Arena,Malang Diedhiou,1.0.2,,,Costa Rica vs Serbia
7584,2018-07-02,20:00:00.000,International - FIFA World Cup,2018,Belgium,Japan,3,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Round of 16,Rostov Arena,Malang Diedhiou,1.0.2,,,Belgium vs Japan
7545,2018-06-21,20:00:00.000,International - FIFA World Cup,2018,Argentina,Croatia,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Group Stage,Stadion Nizhny Novgorod,Ravshan Irmatov,1.0.2,,,Argentina vs Croatia
8649,2018-07-06,16:00:00.000,International - FIFA World Cup,2018,Uruguay,France,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,5,Quarter-finals,Stadion Nizhny Novgorod,Néstor Fabián Pitana,1.0.2,,,Uruguay vs France
